manga,author,publisher,demographic,num_of_vol,serialized,sales,sales_per_vol,genre,isbn_10,isbn_13,description,cover_image_url,tags,rating_avg,year,year_bucket,amazon_link
Uzumaki,Junji Ito,Shogakukan,Seinen,23,1998–1999,,,Horror,,9.78142E+12,"Kurozu-cho, a small fogbound town on the coast of Japan, is cursed. According to Shuichi Saito, the withdrawn boyfriend of teenager Kirie Goshima, their town is haunted not by a person or being but by a pattern: uzumaki, the spiral, the hypnotic secret shape of the world. It manifests itself in small ways: seashells, ferns, whirlpools in water, whirlwinds in air. And in large ways: the spiral marks on people's bodies, the insane obsessions of Shuichi's father, the voice from the cochlea in your inner ear. As the madness spreads, the inhabitants of Kurouzu-cho are pulled ever deeper, as if into a whirlpool from which there is no return.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30436-Opk9ZubMPuDU.jpg,"Tragedy, Body Horror, Cosmic Horror, Seinen, Survival",79,1998,classic,https://www.amazon.com/s?k=9781421513898
Dorohedoro,Q Hayashida,Shogakukan,Seinen,16,2000–2018,,,Action,,9.78142E+12,"In a city so dismal it's known only as ""the Hole,"" a clan of Sorcerers have been plucking people off the streets to use as guinea pigs for atrocious ""experiments"" in the black arts. In a dark alley, Nikaido found Caiman, a man with a reptile head and a bad case of amnesia. To undo the spell, they're hunting and killing the Sorcerers in the Hole, hoping that eventually they'll kill the right one. But when En, the head Sorcerer, gets word of a lizard-man slaughtering his people, he sends a crew of ""cleaners"" into the Hole, igniting a war between two worlds.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx31133-Jx6map3Oidz1.png,"Dissociative Identities, Magic, Ensemble Cast, Anti-Hero, Amnesia",86,2000,2000s,https://www.amazon.com/s?k=9781421533636
SAKAMOTO DAYS,Yuto Suzuki,Shueisha,Shōnen,16,2020–present,,,Action,,9.78197E+12,"Taro Sakamoto was the ultimate assassin, feared by villains and admired by hitmen. But one day...he fell in love! Retirement, marriage, fatherhood and then... Sakamoto gained weight! The chubby guy who runs the neighborhood store is actually a former legendary hitman! Can he protect his family from danger? Get ready to experience a new kind of action comedy series!",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx125828-p78Z8SflkfmO.jpg,"Assassins, Family Life, Crime, Found Family, Primarily Male Cast",81,2020,modern,https://www.amazon.com/s?k=9781974728947
Mob Psycho 100,ONE,Shogakukan,Shōnen,,2012–2017,,,Action,,9.78151E+12,"Do you or someone you know need an exorcist who works cheap? Reigen's your guy! What's his secret to busting ghosts while keeping prices low? Well, first, he's a fraud, and second, he pays the guy who's got the real psychic power—his student assistant Shigeo—less than minimum wage. Shigeo is an awkward but kind boy whose urge to help others and get along with them is bound up with the mental safety locks he's placed on his own emotions. Reigen knows he needs to exploit Shigeo to stay in business, yet for better or worse he's also his mentor and counselor. And he also knows whenever the normally repressed kid's emotions reach level 100, it may unleash more psychic energy than either of them can handle!",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/nx85189-06aXUBq5jwce.jpg,"Coming of Age, Philosophy, Super Power, Urban Fantasy, Ghost",85,2012,modern,https://www.amazon.com/s?k=9781506709871
The God of High School,,Naver Webtoon,,,,,,Action,,9.78199E+12,"Mori Jin is a high school student and Taekwondo specialist who enters ""The God of High School,"" a fighting tournament that promises the winner anything they want. What began as a competition to seek out the best high school fighter soon reveals itself to be part of a much greater plot that goes beyond Mori's wildest imagination. What will he give to become a true god?",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx85141-qHR957V3FVco.png,"Martial Arts, Super Power, Gods, Full Color, Mythology",76,2011,modern,https://www.amazon.com/s?k=9781990778742
Gachiakuta,Kei Urana,Kodansha,Shōnen,22,2022–present,,,Action,,9.79889E+12,"A boy lives in a floating town, where the poor scrape by and the rich live a sumptuous life, simply casting their garbage off the side, into the abyss. When he’s falsely accused of murder, though, his wrongful conviction leads to an unimaginable punishment—exile off the edge, with the rest of the trash. Down on the surface, the cast-off waste of humanity has bred vicious monsters, and to travel the path to vengeance against those who cast him into Hell, a boy will have to become a warrior…",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx144946-cscic3n2SwdY.jpg,"Ensemble Cast, Shounen, Male Protagonist, Post-Apocalyptic, Revenge",79,2022,modern,https://www.amazon.com/s?k=9798888770207
BEASTARS,Paru Itagaki,Akita Shoten,Shōnen,15,2016–2020,,,Drama,,9.78197E+12,"One night at Cherryton Academy, an herbivore student is brutally murdered. Among the members of the Drama Club, the herbivores’ suspicions naturally turn to their carnivore classmates… The prime suspect? Gray wolf Legoshi. But he wouldn’t hurt a fly. Or would he? Will dwarf rabbit Haru bring out the beast in him? Or are his feelings for her…something else?",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx98587-useiMvZ0nfya.png,"Anthropomorphism, Animals, Coming of Age, Male Protagonist, Cannibalism",81,2016,modern,https://www.amazon.com/s?k=9781974707980
Akame ga Kill!,Takahiro,Square Enix,Shōnen,25,2010–2016,,,Action,,9.78032E+12,"Teenage country bumpkin Tatsumi dreams of earning enough money for his impoverished village by working in the Capital--but his short-lived plans go awry when he's robbed by a buxom beauty upon arrival! Penniless, Tatsumi is taken in by the lovely Miss Aria, but just when his Capital dreams seem in reach yet again, Miss Aria's mansion is besieged by Night Raid--a team of ruthless assassins who targets high-ranking members of the upper class! As Tatsumi is quick to learn, appearances can be deceiving in the Capital, and this team of assassins just might be...the good guys?!",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx55132-bhKk5JoXcvdA.jpg,"Assassins, Shounen, Tragedy, Gore, War",74,2010,modern,https://www.amazon.com/s?k=9780316259460
Soul Eater,Atsushi Ohkubo,Square Enix,Shōnen,15,2004–2013,,,Action,,9.78076E+12,"Maka is a scythe meister, working to perfect one particular scythe until it is good enough to become Death's Weapon -- the weapon used by Shinigami-sama, the spirit of Death himself. As if that wasn't unusual enough, her scythe is a demon scythe called Soul Eater, which can change form from a scythe to a human-looking boy. In order to make Soul Eater powerful enough to be Death's Weapon, he must eat the souls of 99 humans and 1 witch. Along the way, the two of them face many different challenges, including a cat witch named Blair (who happens to have a thing for Soul) and a teacher who's been turned into a zombie (and wants him to join her!). Her fellow students, like the shadow ninja weapon meister named Black Star who always needs to be the center of attention, aren't much help, either. It'll be a miracle if Maka even survives, let alone manages to make Soul Eater into the Death Scythe.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30908-nk6Ct4euJelZ.jpg,"Ensemble Cast, Magic, Henshin, Shounen, Super Power",80,2003,2000s,https://www.amazon.com/s?k=9780759530010
ReLife,Yayoiso,Comico,Seinen,25,2013–2018,,,Romance,,9.78384E+12,"Returning home from his part-time job, Arata is persuaded by Ryou Yoake, an employee of ReLife Research Institute, into participating in an experiment which will help him overcome his difficulties and re-enter corporate life. As part of the ReLife experiment, Arata's physique is reverted to that of a 17-year-old, and all he must do is relive his high school life for one year. Waiting for him at the end of the experiment is a job offer that he has been struggling to get ever since he left his first company. With few other options, he decides to go along with this plan. However, with adult-like tendencies and many years since his last formal education, Arata steps into an unexpectedly challenging territory—a normal day of high school.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/nx85849-TYAa7nhwSvbx.jpg,"Memory Manipulation, Age Regression, Shapeshifting, School, Full Color",85,2013,modern,https://www.amazon.com/s?k=9783842055124
Bungou Stray Dogs,Kafka Asagiri,Kadokawa,Seinen,6,2012–present,,,Action,,9.78032E+12,"Having been kicked out of the orphanage, a despairing young man by the name of Atsushi Nakajima rescues a strange man from a suicide attempt--Osamu Dazai. Turns out that Dazai is part of an armed-detective agency staffed by individuals whose supernatural powers take on a literary bent!",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx85307-23PaGq5FakEV.png,"Detective, Urban Fantasy, Super Power, Mafia, Crime",83,2012,modern,https://www.amazon.com/s?k=9780316554701
AKIRA,Katsuhiro Otomo,Kodansha,Seinen,14,1982–1990,,,Action,,9.78194E+12,"Welcome to Neo-Tokyo, built on the ashes of a Tokyo annihilated by a blast of unknown origin that triggered World War III. The lives of two streetwise teenage friends, Tetsuo and Kaneda, change forever when paranormal abilities begin to waken in Tetsuo, making him a target for a shadowy agency that will stop at nothing to prevent another catastrophe like the one that leveled Tokyo. At the core of the agency's motivation is a raw, all-consuming fear of an unthinkable, monstrous power known only as Akira.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30664-JJq9tosQvlpW.jpg,"Dystopian, Cyberpunk, Military, Post-Apocalyptic, Seinen",84,1982,classic,https://www.amazon.com/s?k=9781935429005
The Apothecary Diaries,Natsu Hyuuga,Shogakukan,Seinen,,2017–present,,,Mystery,,9.78165E+12,"Maomao, a young woman trained in the art of herbal medicine, is forced to work as a lowly servant in the inner palace. Though she yearns for life outside its perfumed halls, she isn’t long for a life of drudgery! Using her wits to break a “curse” afflicting the imperial heirs, Maomao attracts the attentions of the handsome eunuch Jinshi and is promoted to attendant food taster. But Jinshi has other plans for the erstwhile apothecary, and soon Maomao is back to brewing potions and…solving mysteries?!",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/nx99022-Hh2WdyNgR8HM.jpg,"Female Protagonist, Medicine, Detective, Historical, Ancient China",85,2017,modern,https://www.amazon.com/s?k=9781646090709
Wind Breaker,Yongseok Jo,Kadokawa,Webtoon,9,2013–present,,,Sports,,9.78165E+12,"Haruka Sakura wants nothing to do with weaklings—he's only interested in the strongest of the strong. He's from Fuurin High School, a school of near-dropout degenerates known only for their brawling strength. And in a town known for its territorial disputes, Haruka's got only one goal—become the hero his town deserves.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx135083-TQbNFWKGJJHW.jpg,"Delinquents, Male Protagonist, Primarily Male Cast, Gangs, Shounen",80,2021,modern,https://www.amazon.com/s?k=9781646518357
Given,Natsuki Kizu,Naver Webtoon,Josei,18,2013–present,,,Drama,,9.78197E+12,"Ritsuka Uenoyama is bored with it all—with school, with his basketball club, and even with his one true passion: playing guitar. That is, until the day he finds his favorite hidden napping spot occupied by a strange boy cradling a broken-stringed guitar. At first, Uenoyama is nonplussed by Mafuyu Sato and his slightly odd behavior, but when, on a whim, he asks Mafuyu to sing, the power of that song pierces him to the core.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx87347-GOCU76cl37dK.png,"Boys' Love, Band, LGBTQ+ Themes, Rehabilitation, Musical Theater",83,2013,modern,https://www.amazon.com/s?k=9781974711826
Maid-sama!,Hiro Fujiwara,Shinshokan,Shōjo,34,2006–2013,,,Romance,,9.78143E+12,"The class president has a little secret she's keeping from everyone in her high school... As President of the Student Council, the overachieving feminist Misaki really socks it to the guys in an attempt to make the former all-boys' school attract a more female student body. But what will she do when the most awesome boy in class finds out Misaki's part-time job is in a maid café?! It's love at first fight in this shojo romantic comedy—with a whole new look at the battle between the genres!",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx32921-joMcvusRyZV6.jpg,"Shoujo, Female Protagonist, Heterosexual, Tsundere, School",81,2005,2000s,https://www.amazon.com/s?k=9781427814036
BECK,Harold Sakuishi,Hakusensha,Shōnen,19,1999–2008,,,Music,,9.78888E+12,"For the first 14 years of his life, Yukio Tanaka has been one heck of a boring guy. He has no hobbies, a weak taste in music, and only a small vestige of a personality. He yearns for an exciting life, but his shy, and somewhat neurotic personality make him his own worst enemy. Little does he know that his life will be forever changed when he meets Ryusuke Minami, a wild and unpredictable 16 year-old fresh from America, who happens to be in a rock-and-roll band named after his Frankenstein-like patched dog—Beck.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30145-ipNuwNgD5AJS.png,"Band, Coming of Age, Male Protagonist, Rock Music, Primarily Male Cast",86,2000,2000s,https://www.amazon.com/s?k=9788882130220
Banana Fish,Akimi Yoshida,Kodansha,Shōjo,2,1985–1994,,,Action,,9.78157E+12,"Nature made Ash Lynx beautiful; nurture made him a cold ruthless killer. A runaway brought up as the adopted heir and sex toy of ""Papa"" Dino Golzine, Ash, now at the rebellious age of seventeen, forsakes the kingdom held out by the devil who raised him. But the hideous secret that drove Ash's older brother mad in Vietnam has suddenly fallen into Papa's insatiably ambitious hands--and it's exactly the wrong time for Eiji Okamura, a pure-hearted young photographer from Japan, to make Ash Lynx's acquaintance...",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30756-rlxjQWBAizHX.jpg,"Mafia, Tragedy, Gangs, Conspiracy, Noir",85,1985,classic,https://www.amazon.com/s?k=9781569319727
Takopi's Original Sin,Taizan5,Shogakukan,Shōnen,10,2021–2022,,,Drama,,9.78197E+12,"Takopi travels from his home of Happy Planet to spread happiness across Earth, but meets the unsmiling Shizuka upon landing. Her friends at school and home life seem to be the source of her somber expression—and the pure-hearted Takopi is determined to change things for the better! But what truths await him when the curtains rise in this shocking drama?!",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx142568-xPC5wQPxTV1s.jpg,"Bullying, Tragedy, Denpa, Aliens, Time Manipulation",77,2021,modern,https://www.amazon.com/s?k=9781974740345
HELLSING,Kouta Hirano,Shueisha,Seinen,26,1997–2008,,,Action,,9.78151E+12,"Hellsing, a secret organization of the British government, have long been battling supernatural threats to keep the people safe from creatures of the night. The current leader, Integra Wingates Hellsing controls her own personal army to eliminate the undead beings, but even her highly trained soldiers pale in comparison to her most trusted vampire exterminator, a man by the name of Alucard, who is actually a powerful vampire himself. Along with Integra's mysterious butler and Alucard's new vampire minion, Seras Victoria, The Hellsing Organization must face not only regular ghouls and vampires, but a rivaling secret organization from the Vatican, and Millennium, an enigmatic group of madmen spawned by a certain war over 50 years ago",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx39760-ttrfuONSRq54.png,"Guns, Vampire, Male Protagonist, Nudity, Gore",51,1996,classic,https://www.amazon.com/s?k=9781506738505
The Disastrous Life of Saiki K.,Shūichi Asō,Shōnen Gahōsh,Shōnen,28,2012–2018,,,Comedy,,9.78409E+12,"Saiki Kusuo has a wide array of superpowers at his command, including telepathy and telekinesis. This might sound awesome, but, in Kusuo's experience, superpowers are not all they're cracked up to be. He tries to live a normal life, despite his annoying abilities.",https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx67755-pP4eYGRHFzaM.jpg,"Super Power, School, Male Protagonist, Shounen, Aromantic",82,2012,modern,https://www.amazon.com/s?k=9784088705040
Erased,Kei Sanbe,Kadokawa Shoten,Seinen,9,2012–2016,,,Drama,,9.78032E+12,"Twenty-nine-year-old Satoru Fujinuma is floundering through life. Amid his daily drudgery, he finds himself in the grip of an incredible, inexplicable, and uncontrollable phenomenon that rewinds time, a condition that seems to only make his drab life worse. But then, one day, everything changes. A terrible incident forever changes Satoru's life as he knows it...and with it, comes a ""Revival"" that sends Satoru eighteen years into the past! In the body of his boyhood self, Satoru encounters sights he never imagined he would see again--the smile of his mother, alive and well, his old friends, and Kayo Hinazuki, the girl who was kidnapped and murdered when he was a boy the first time around. To return to the present and prevent the tragedy that brought him back to his childhood in the first place, Satoru begins plotting a way to change Hinazuki's fate...But up against the clock and a faceless evil, does eleven-year-old Satoru even stand a chance?",https://s4.anilist.co/file/anilistcdn/media/manga/cover/large/bx69325-17ud19Cg0xIO.jpg,"Crime, Primarily Child Cast, Age Regression, Male Protagonist, Time Manipulation",80,2012,modern,https://www.amazon.com/s?k=9780316553315
